,date,attendance,TSUrushyards,TSUreceiveyards,TSUkreturnyards,TSUpreturnyards,TSUtackles,TSUtackleyd,TSUsacks,TSUsackyd,TSUpunt,year
0,2012-09-01,15652,138,263,52,8,49,28,1,5,5,2012
1,2012-09-08,42257,235,137,69,42,66,21,3,20,8,2012
2,2012-09-15,14264,112,322,24,7,55,13,1,9,3,2012
3,2012-09-22,9461,200,157,41,37,84,52,4,30,7,2012
4,2012-09-29,31765,201,262,47,4,62,40,3,29,4,2012
5,2012-10-05,9878,139,227,63,0,67,11,3,6,5,2012
6,2012-10-13,4800,306,154,56,6,74,21,2,13,1,2012
7,2012-10-20,14867,184,311,62,0,62,15,1,9,5,2012
8,2012-10-27,11373,158,294,54,44,48,13,1,8,4,2012
9,2012-11-03,3112,138,273,195,0,72,11,1,7,6,2012
10,2012-11-17,6322,122,355,101,0,79,24,1,6,5,2012
